reviewer_id,reviewer_kind,review_order,sample_id,role,family_id,split,gold_level,gold_categories,gold_acceptable_alternative_levels,human_level,human_categories,human_confidence,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,human_rationale,level_human_eq_gold,cats_human_eq_gold,lenient_level_match
Rahul,human,1,uc4-9d42fc85c9,review,hn_public_api_docs_placeholder_keys,dev,PUBLIC,,,PUBLIC,,high,FALSE,,FALSE,"Public-style quickstart; all credential strings are placeholders or documented examples, not live secrets.",TRUE,TRUE,TRUE
Rahul,human,2,uc4-9a94d05821,control,fin_invoice_bank_details,dev,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,high,FALSE,,FALSE,"The invoice contains full routing and bank account numbers, which meet Financial / PCI and its Highly Confidential floor.",TRUE,TRUE,TRUE
Rahul,human,3,uc4-fb41e91266,review,amb_aggregate_health_stats,calibration,HIGHLY_CONFIDENTIAL,,CONFIDENTIAL,INTERNAL,,medium,FALSE,,FALSE,"The health outcomes are aggregated and explicitly contain no identifiers, so PHI does not apply; no public-release intent is stated.",FALSE,TRUE,FALSE
Rahul,human,4,uc4-cfac4adf77,control,hn_blank_hr_form_template,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,This is a blank employee form. Empty fields are specifically excluded from PII and contain no actual financial data.,TRUE,TRUE,TRUE
Rahul,human,5,uc4-dd34b9e9fe,control,fin_merchant_settlement,dev,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,high,FALSE,,FALSE,"Complete payment-card numbers appear in the chargeback record, clearly meeting Financial / PCI.",TRUE,TRUE,TRUE
Rahul,human,6,uc4-791425f3af,control,ip_research_notebook_novel_method,dev,CONFIDENTIAL,INTELLECTUAL_PROPERTY,,CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,FALSE,,FALSE,"The notebook describes a novel unpublished method and results and mentions protecting the work before presentation, meeting Intellectual Property.",TRUE,TRUE,TRUE
Rahul,human,7,uc4-8a7180ec97,review,amb_internal_tooling_source,calibration,CONFIDENTIAL,SOURCE_CODE,INTERNAL,CONFIDENTIAL,SOURCE_CODE,medium,TRUE,INTERNAL,FALSE,"The file contains operational Python logic and an internal host, which reasonably fits non-public Source Code.",TRUE,TRUE,TRUE
Rahul,human,8,uc4-4fb7c238e1,control,cred_jwt_in_log,dev,HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS,,HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS,high,FALSE,,FALSE,"The trace exposes a complete live-looking bearer token, which meets Credentials / Secrets.",TRUE,TRUE,TRUE
Rahul,human,9,uc4-8d31d6cc41,review,amb_vendor_contract_summary,train,CONFIDENTIAL,,INTERNAL,CONFIDENTIAL,,high,FALSE,,FALSE,"The contract contains non-public multi-million-dollar commercial terms whose disclosure could harm the organization, but no named category clearly applies.",TRUE,TRUE,TRUE
Rahul,human,10,uc4-205126d683,review,amb_aggregate_health_stats,calibration,HIGHLY_CONFIDENTIAL,,CONFIDENTIAL,INTERNAL,,medium,FALSE,,FALSE,"The document explicitly describes aggregated, non-identifiable health outcomes, so PHI does not apply and Internal is the default.",FALSE,TRUE,FALSE
