sample_id,split,tier,family_id,filename,content,original_gold_level,original_gold_categories,original_ambiguity_flag,original_acceptable_alternative_levels,annotation_notes,pred_rules,pred_ml,pred_llm_small,pred_llm_mid,pred_llm_large,pred_hybrid,approaches_disagreeing_with_gold,llm_rationale_small,llm_rationale_mid,llm_rationale_large,disagreement_type,disagreement_type_code,taxonomy_ambiguity_flag,taxonomy_definitions_applicable,proposed_human_gold_level,proposed_human_gold_categories,proposed_ambiguity_flag,proposed_acceptable_alternative_levels,label_change_proposed,alternative_gold_if_taxonomy_clarified,reviewer_rationale,recommended_action,human_decision_required,priority,reviewer,human_decision,human_final_gold_level,human_final_gold_categories,human_final_ambiguity_flag,human_final_acceptable_alternative_levels,human_reviewer,human_review_date,human_comment
uc4-0a89539959,train,T4,hn_confidential_word_menu,STRICTLY_CONFIDENTIAL_Cafeteria_July.docx,"STRICTLY CONFIDENTIAL - do not forward

This week's cafeteria menu
Monday: vegetable soup, grilled cheese
Tuesday: chicken curry with rice
Wednesday: noodle bowls
Thursday: falafel wraps
Friday: burger day

Vegan options are marked on the counter. Please bring your own reusable cup. Menu prepared by Willa Zhang in Facilities for the Valencia office.
",INTERNAL,,FALSE,,A banner and filename that say 'confidential' on a menu; the content is ordinary internal information.,HIGHLY_CONFIDENTIAL | - conf=strong,INTERNAL | - conf=0.78,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules,,,,genuine_model_error,3,FALSE,"INTERNAL: General business information intended for employees. Limited harm if disclosed externally; contains no regulated, strategic or credential content. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm.",INTERNAL,,,,FALSE,,"A cafeteria menu with a ""STRICTLY CONFIDENTIAL"" banner and filename. The labeling guidelines say labels describe the content, not what a document says about itself, so the gold (Internal) is correct. The Rules stage takes the banner at face value (a known, documented false positive on this decoy family); the ML model answers Internal.",No label change. Known Rules false positive.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-1154d76e61,train,T4,hn_confidential_word_menu,STRICTLY_CONFIDENTIAL_Cafeteria_January.docx,"STRICTLY CONFIDENTIAL - do not forward

This week's cafeteria menu
Monday: minestrone and focaccia
Tuesday: beef chilli and cornbread
Wednesday: pasta bar
Thursday: falafel wraps
Friday: burger day

Allergen information is posted at the till. Please bring your own reusable cup. Menu prepared by Priya Espinoza in Facilities for the Valencia office.
",INTERNAL,,FALSE,,A banner and filename that say 'confidential' on a menu; the content is ordinary internal information.,HIGHLY_CONFIDENTIAL | - conf=strong,INTERNAL | - conf=0.77,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules,,,,genuine_model_error,3,FALSE,"INTERNAL: General business information intended for employees. Limited harm if disclosed externally; contains no regulated, strategic or credential content. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm.",INTERNAL,,,,FALSE,,"A cafeteria menu with a ""STRICTLY CONFIDENTIAL"" banner and filename. The labeling guidelines say labels describe the content, not what a document says about itself, so the gold (Internal) is correct. The Rules stage takes the banner at face value (a known, documented false positive on this decoy family); the ML model answers Internal.",No label change. Known Rules false positive.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-30642d4132,train,T4,hn_confidential_word_menu,STRICTLY_CONFIDENTIAL_Cafeteria_May.docx,"STRICTLY CONFIDENTIAL - do not forward

This week's cafeteria menu
Monday: vegetable soup, grilled cheese
Tuesday: mushroom risotto
Wednesday: baked potato bar
Thursday: falafel wraps
Friday: burger day

Allergen information is posted at the till. Please bring your own reusable cup. Menu prepared by Rafaela Espinoza in Facilities for the Valencia office.
",INTERNAL,,FALSE,,A banner and filename that say 'confidential' on a menu; the content is ordinary internal information.,HIGHLY_CONFIDENTIAL | - conf=strong,INTERNAL | - conf=0.78,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules,,,,genuine_model_error,3,FALSE,"INTERNAL: General business information intended for employees. Limited harm if disclosed externally; contains no regulated, strategic or credential content. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm.",INTERNAL,,,,FALSE,,"A cafeteria menu with a ""STRICTLY CONFIDENTIAL"" banner and filename. The labeling guidelines say labels describe the content, not what a document says about itself, so the gold (Internal) is correct. The Rules stage takes the banner at face value (a known, documented false positive on this decoy family); the ML model answers Internal.",No label change. Known Rules false positive.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-6dd5a56b92,train,T4,hn_confidential_word_menu,Confidential_Lunch_Menu.docx,"STRICTLY CONFIDENTIAL - do not forward

This week's cafeteria menu
Monday: lentil stew, garlic bread
Tuesday: mushroom risotto
Wednesday: noodle bowls
Thursday: roast vegetable tart
Friday: pizza day

Vegan options are marked on the counter. Please bring your own reusable cup. Menu prepared by Santiago Verhoeven in Facilities for the Denver office.
",INTERNAL,,FALSE,,A banner and filename that say 'confidential' on a menu; the content is ordinary internal information.,HIGHLY_CONFIDENTIAL | - conf=strong,INTERNAL | - conf=0.72,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules,,,,genuine_model_error,3,FALSE,"INTERNAL: General business information intended for employees. Limited harm if disclosed externally; contains no regulated, strategic or credential content. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm.",INTERNAL,,,,FALSE,,"A cafeteria menu with a ""STRICTLY CONFIDENTIAL"" banner and filename. The labeling guidelines say labels describe the content, not what a document says about itself, so the gold (Internal) is correct. The Rules stage takes the banner at face value (a known, documented false positive on this decoy family); the ML model answers Internal.",No label change. Known Rules false positive.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-963c7d080a,train,T4,hn_confidential_word_menu,STRICTLY_CONFIDENTIAL_Cafeteria_June.docx,"STRICTLY CONFIDENTIAL - do not forward

This week's cafeteria menu
Monday: vegetable soup, grilled cheese
Tuesday: beef chilli and cornbread
Wednesday: baked potato bar
Thursday: fish tacos
Friday: pizza day

Allergen information is posted at the till. Please bring your own reusable cup. Menu prepared by Olivia Whitfield in Facilities for the Antwerp office.
",INTERNAL,,FALSE,,A banner and filename that say 'confidential' on a menu; the content is ordinary internal information.,HIGHLY_CONFIDENTIAL | - conf=strong,INTERNAL | - conf=0.77,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules,,,,genuine_model_error,3,FALSE,"INTERNAL: General business information intended for employees. Limited harm if disclosed externally; contains no regulated, strategic or credential content. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm.",INTERNAL,,,,FALSE,,"A cafeteria menu with a ""STRICTLY CONFIDENTIAL"" banner and filename. The labeling guidelines say labels describe the content, not what a document says about itself, so the gold (Internal) is correct. The Rules stage takes the banner at face value (a known, documented false positive on this decoy family); the ML model answers Internal.",No label change. Known Rules false positive.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-1b7958776c,train,T1,phi_immunization_registry,Vaccination_Records_Antwerp.xlsx,"patient,dob,vaccine,date_given
Camila Oduya,1989-11-03,influenza,2027-10-06
Esperanza Sandoval,1973-12-28,Tdap,2027-05-20
Anneliese Galvez,1999-08-11,hepatitis B,2026-11-11
",HIGHLY_CONFIDENTIAL,PHI;PII,FALSE,,,CONFIDENTIAL | PII conf=strong,HIGHLY_CONFIDENTIAL | PHI conf=0.71,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules;ml,,,,genuine_model_error,3,FALSE,"CONFIDENTIAL: Non-public business or personal information whose external disclosure could harm the organization or individuals. Need-to-know within the organization. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm. || PII (floor CONFIDENTIAL): Information that identifies, or can be used to identify, an individual: government IDs, personal contact details, dates of birth, or personal circumstances about a named person. Business contact details alone (name, title, work email) are NOT PII under this policy. Does NOT apply: Corporate directory listing name, job title and work email; Masked identifiers such as XXX-XX-1234; A blank onboarding form template with empty fields. || PHI (floor HIGHLY_CONFIDENTIAL): Individually identifiable health information: diagnoses, treatments, test results, or insurance and claim details linked to an identifiable person. If a name is the only identifier, label PHI only; add PII when other direct identifiers also appear. Does NOT apply: Public health article about a condition; Aggregated, de-identified patient statistics; Blank patient intake form.",HIGHLY_CONFIDENTIAL,PHI;PII,,,FALSE,,"A vaccination log linking named patients and dates of birth to vaccines given: individually identifiable health information (PHI) plus personal identifiers (DOB, PII). The gold is correct. Rules detect only the date of birth (PII, Confidential) and miss the health context, so they under-classify by one rank. ML predicts PHI only.",No label change. Rules recall gap for health context without clinical vocabulary.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-28943f1baf,train,T1,phi_immunization_registry,Vaccination_Records_Denver.xlsx,"patient,dob,vaccine,date_given
Gwendolyn Dvorak,1962-07-06,influenza,2026-07-01
Hassan Lindqvist,1953-02-08,hepatitis B,2027-07-07
Gwendolyn Ibrahim,1997-03-16,shingles,2027-10-15
",HIGHLY_CONFIDENTIAL,PHI;PII,FALSE,,,CONFIDENTIAL | PII conf=strong,HIGHLY_CONFIDENTIAL | PHI conf=0.68,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules;ml,,,,genuine_model_error,3,FALSE,"CONFIDENTIAL: Non-public business or personal information whose external disclosure could harm the organization or individuals. Need-to-know within the organization. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm. || PII (floor CONFIDENTIAL): Information that identifies, or can be used to identify, an individual: government IDs, personal contact details, dates of birth, or personal circumstances about a named person. Business contact details alone (name, title, work email) are NOT PII under this policy. Does NOT apply: Corporate directory listing name, job title and work email; Masked identifiers such as XXX-XX-1234; A blank onboarding form template with empty fields. || PHI (floor HIGHLY_CONFIDENTIAL): Individually identifiable health information: diagnoses, treatments, test results, or insurance and claim details linked to an identifiable person. If a name is the only identifier, label PHI only; add PII when other direct identifiers also appear. Does NOT apply: Public health article about a condition; Aggregated, de-identified patient statistics; Blank patient intake form.",HIGHLY_CONFIDENTIAL,PHI;PII,,,FALSE,,"A vaccination log linking named patients and dates of birth to vaccines given: individually identifiable health information (PHI) plus personal identifiers (DOB, PII). The gold is correct. Rules detect only the date of birth (PII, Confidential) and miss the health context, so they under-classify by one rank. ML predicts PHI only.",No label change. Rules recall gap for health context without clinical vocabulary.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-46c98ee002,train,T1,phi_immunization_registry,Vaccination_Records_Denver.xlsx,"patient,dob,vaccine,date_given
Ingrid Gallagher,1969-12-24,influenza,2026-07-15
Fiona Tremblay,1967-01-25,Tdap,2025-04-06
Ursula Lefebvre,1990-12-13,hepatitis B,2025-06-16
",HIGHLY_CONFIDENTIAL,PHI;PII,FALSE,,,CONFIDENTIAL | PII conf=strong,HIGHLY_CONFIDENTIAL | PHI conf=0.70,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules;ml,,,,genuine_model_error,3,FALSE,"CONFIDENTIAL: Non-public business or personal information whose external disclosure could harm the organization or individuals. Need-to-know within the organization. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm. || PII (floor CONFIDENTIAL): Information that identifies, or can be used to identify, an individual: government IDs, personal contact details, dates of birth, or personal circumstances about a named person. Business contact details alone (name, title, work email) are NOT PII under this policy. Does NOT apply: Corporate directory listing name, job title and work email; Masked identifiers such as XXX-XX-1234; A blank onboarding form template with empty fields. || PHI (floor HIGHLY_CONFIDENTIAL): Individually identifiable health information: diagnoses, treatments, test results, or insurance and claim details linked to an identifiable person. If a name is the only identifier, label PHI only; add PII when other direct identifiers also appear. Does NOT apply: Public health article about a condition; Aggregated, de-identified patient statistics; Blank patient intake form.",HIGHLY_CONFIDENTIAL,PHI;PII,,,FALSE,,"A vaccination log linking named patients and dates of birth to vaccines given: individually identifiable health information (PHI) plus personal identifiers (DOB, PII). The gold is correct. Rules detect only the date of birth (PII, Confidential) and miss the health context, so they under-classify by one rank. ML predicts PHI only.",No label change. Rules recall gap for health context without clinical vocabulary.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-8e25fd5f8d,train,T1,phi_immunization_registry,Immunization_Registry_2028.csv,"patient,dob,vaccine,date_given
Uma Choudhury,1973-10-13,influenza,2025-08-04
Uma Haddad,2004-07-20,COVID-19 booster,2026-07-28
Greta Uzun,2001-06-09,shingles,2027-07-26
",HIGHLY_CONFIDENTIAL,PHI;PII,FALSE,,,CONFIDENTIAL | PII conf=strong,HIGHLY_CONFIDENTIAL | PHI conf=0.72,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules;ml,,,,genuine_model_error,3,FALSE,"CONFIDENTIAL: Non-public business or personal information whose external disclosure could harm the organization or individuals. Need-to-know within the organization. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm. || PII (floor CONFIDENTIAL): Information that identifies, or can be used to identify, an individual: government IDs, personal contact details, dates of birth, or personal circumstances about a named person. Business contact details alone (name, title, work email) are NOT PII under this policy. Does NOT apply: Corporate directory listing name, job title and work email; Masked identifiers such as XXX-XX-1234; A blank onboarding form template with empty fields. || PHI (floor HIGHLY_CONFIDENTIAL): Individually identifiable health information: diagnoses, treatments, test results, or insurance and claim details linked to an identifiable person. If a name is the only identifier, label PHI only; add PII when other direct identifiers also appear. Does NOT apply: Public health article about a condition; Aggregated, de-identified patient statistics; Blank patient intake form.",HIGHLY_CONFIDENTIAL,PHI;PII,,,FALSE,,"A vaccination log linking named patients and dates of birth to vaccines given: individually identifiable health information (PHI) plus personal identifiers (DOB, PII). The gold is correct. Rules detect only the date of birth (PII, Confidential) and miss the health context, so they under-classify by one rank. ML predicts PHI only.",No label change. Rules recall gap for health context without clinical vocabulary.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
uc4-f4db32d7f2,train,T1,phi_immunization_registry,Vaccination_Records_Austin.xlsx,"patient,dob,vaccine,date_given
Camila Espinoza,1967-05-22,hepatitis B,2025-08-06
Rosalind Jorgensen,1985-03-11,shingles,2025-12-27
Tamsin Thorsen,1968-11-25,Tdap,2025-06-10
",HIGHLY_CONFIDENTIAL,PHI;PII,FALSE,,,CONFIDENTIAL | PII conf=strong,HIGHLY_CONFIDENTIAL | PHI conf=0.71,not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),not available (no recorded run for this split),rules;ml,,,,genuine_model_error,3,FALSE,"CONFIDENTIAL: Non-public business or personal information whose external disclosure could harm the organization or individuals. Need-to-know within the organization. || HIGHLY_CONFIDENTIAL: Regulated data, credentials, or strategically critical information whose disclosure could cause severe legal, financial, competitive or personal harm. || PII (floor CONFIDENTIAL): Information that identifies, or can be used to identify, an individual: government IDs, personal contact details, dates of birth, or personal circumstances about a named person. Business contact details alone (name, title, work email) are NOT PII under this policy. Does NOT apply: Corporate directory listing name, job title and work email; Masked identifiers such as XXX-XX-1234; A blank onboarding form template with empty fields. || PHI (floor HIGHLY_CONFIDENTIAL): Individually identifiable health information: diagnoses, treatments, test results, or insurance and claim details linked to an identifiable person. If a name is the only identifier, label PHI only; add PII when other direct identifiers also appear. Does NOT apply: Public health article about a condition; Aggregated, de-identified patient statistics; Blank patient intake form.",HIGHLY_CONFIDENTIAL,PHI;PII,,,FALSE,,"A vaccination log linking named patients and dates of birth to vaccines given: individually identifiable health information (PHI) plus personal identifiers (DOB, PII). The gold is correct. Rules detect only the date of birth (PII, Confidential) and miss the health context, so they under-classify by one rank. ML predicts PHI only.",No label change. Rules recall gap for health context without clinical vocabulary.,FALSE,P3,AI-assisted preliminary review (not human-validated),,,,,,,,
