sample_id,filename,content,human_level,human_categories,human_confidence,human_rationale,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,reviewer_id,review_date
uc4-9d42fc85c9,authentication.md,"# Quickstart

Create an API key in your dashboard, then export it:

    export API_KEY=YOUR_API_KEY_HERE

Example request:

    curl -H ""Authorization: Bearer YOUR_API_KEY_HERE"" https://api.pembertoncapital.example/v1/status

For AWS integration you will see keys like AKIAIOSFODNN7EXAMPLE and wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY in the vendor's own documentation; these are documented examples, not real credentials.
",PUBLIC,NONE,high,"Public-style quickstart; all credential strings are placeholders or documented examples, not live secrets.",no,,no,Rahul,2026-09-21
uc4-9a94d05821,Vendor_Invoice_Tidewater.pdf,"INVOICE INV-2027-4294
From: Tidewater Energy
To: Oakhurst Semiconductors
Date: 2025-02-04
Services: consulting, 48 hours
Amount due: $11,667

Remit payment by bank transfer:
Routing: 551692569  Account: 50192561070
",HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,high,"The invoice contains full routing and bank account numbers, which meet Financial / PCI and its Highly Confidential floor.",no,,no,Rahul,2026-09-21
uc4-fb41e91266,Programme_Outcomes_Q3.docx,"Harborview Health Center programme outcomes - Q3

Of 874 enrolled patients, 5 in the under-30 group had a hospital admission and 4 in the over-80 group discontinued treatment. In the Valencia site the smallest subgroup (n=4) showed the largest improvement.

Data are aggregated and contain no names or identifiers.
",INTERNAL,NONE,medium,"The health outcomes are aggregated and explicitly contain no identifiers, so PHI does not apply; no public-release intent is stated.",no,,no,Rahul,2026-09-21
uc4-cfac4adf77,New_Hire_Form_2027.pdf,"Mistral Payments - Employee Data Sheet (blank template, revision 2)
Legal name ............................
Tax identification no. ................
Birth date ............................
Residential address ...................
Bank details for payroll ..............
Please fill in every line and hand the form to Marisol Alvarez in HR. Do not email completed forms.
",INTERNAL,NONE,high,This is a blank employee form. Empty fields are specifically excluded from PII and contain no actual financial data.,no,,no,Rahul,2026-09-21
uc4-dd34b9e9fe,Merchant_Settlement_11.txt,"Chargeback review - April 2028
case 3303: card 6011114419516482 amount $643 reason: fraud
case 6341: card 3528-0058-3206-1150 amount $554 reason: duplicate charge
case 5423: card 4111-1132-5849-7766 amount $632 reason: item not received
",HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,high,"Complete payment-card numbers appear in the chargeback record, clearly meeting Financial / PCI.",no,,no,Rahul,2026-09-21
uc4-791425f3af,Lab_Notebook_11.docx,"Research notebook - week 35

Today's experiment confirmed the idea we sketched last month: if the sensor's own noise is fed back as a calibration input, the device corrects itself without an external reference. Error dropped by about 66.6% in all 10 test runs. To our knowledge nobody has reported this approach.
Next: repeat on the second prototype, then talk to Willa Nakamura in Legal about protecting it before we present anywhere.
",CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,"The notebook describes a novel unpublished method and results and mentions protecting the work before presentation, meeting Intellectual Property.",no,,no,Rahul,2026-09-21
uc4-8a7180ec97,cleanup_tool.py,"# helper for the weekly ops report
import csv
HOST = ""db-12.corp.example""

def load_rows(path):
    with open(path) as f:
        return list(csv.DictReader(f))

def summarise(rows):
    return {""count"": len(rows), ""hosts"": sorted({r[""host""] for r in rows})}
",CONFIDENTIAL,SOURCE_CODE,medium,"The file contains operational Python logic and an internal host, which reasonably fits non-public Source Code.",yes,INTERNAL,no,Rahul,2026-09-21
uc4-4fb7c238e1,app_trace_46.txt,"2026-01-12 09:14:02 INFO  request GET /v1/accounts status=200 user=svc-billing
2026-09-12 09:14:02 DEBUG auth header Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzdmMtMTMyMyIsImRnIjoic3ludGhldGljIiwiZXhwIjoxOTAwMDAwMDAwfQ.I1uT8f2yF1fyu6B8yOxG5L6kTwxBcRIan85LieJFvqh
2027-11-24 09:14:03 INFO  request POST /v1/transfers status=202 user=svc-billing
",HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS,high,"The trace exposes a complete live-looking bearer token, which meets Credentials / Secrets.",no,,no,Rahul,2026-09-21
uc4-8d31d6cc41,Vendor_Terms_2028.docx,"Contract summary - Emberlight Cloud

Term: 5 years from June 2028. Annual fee: $3.8M. Payment: net 50 days. Termination for convenience with 71 days' notice. Liability capped at annual fees. Auto-renews unless notice is given 68 days before expiry.
",CONFIDENTIAL,NONE,high,"The contract contains non-public multi-million-dollar commercial terms whose disclosure could harm the organization, but no named category clearly applies.",no,,no,Rahul,2026-09-21
uc4-205126d683,Programme_Outcomes_Q4.docx,"Meadow Pediatrics programme outcomes - Q4

Of 825 enrolled patients, 6 in the under-30 group had a hospital admission and 6 in the over-80 group discontinued treatment. In the Ottawa site the smallest subgroup (n=3) showed the largest improvement.

Data are aggregated and contain no names or identifiers.
",INTERNAL,NONE,medium,"The document explicitly describes aggregated, non-identifiable health outcomes, so PHI does not apply and Internal is the default.",no,,no,Rahul,2026-09-21
uc4-14696d668c,Cohort_Summary_2028.pdf,"Riverside Family Clinic programme outcomes - Q1

Of 722 enrolled patients, 3 in the under-30 group had a hospital admission and 7 in the over-80 group discontinued treatment. In the Kraków site the smallest subgroup (n=3) showed the largest improvement.

Data are aggregated and contain no names or identifiers.
",INTERNAL,NONE,medium,"The clinic statistics are aggregated and explicitly de-identified; without public-release intent, Internal is appropriate.",no,,no,Rahul,2026-09-21
uc4-19c5bd1307,Pharmacy_Log_November.csv,"PRESCRIPTION RECORD
Patient: Theo Bianchi  (MRN-9952462)
Filled: 2026-12-26
Medication: sertraline 50 mg - 18 day supply, indication generalized anxiety disorder
Pharmacist: Anneliese Oduya
",HIGHLY_CONFIDENTIAL,PHI,high,"A named patient and MRN are linked to medication and diagnosis, clearly meeting PHI.",no,,no,Rahul,2026-09-21
uc4-c8334a8e38,Hiring_FAQ_2026.md,"Careers at Yewtree Retail - Frequently Asked Questions

Q: Where are your offices?
A: We have offices in Austin, Kraków and Calgary, and many roles can be done remotely.

Q: How long does the hiring process take?
A: Most candidates hear from us within 4 business days of applying, and the full process typically takes 2 weeks.

Q: Do you sponsor work visas?
A: Yes, for many engineering and research roles. Ask your recruiter for details.

Apply at www.yewtreeretail.example/careers. We are an equal opportunity employer.
",PUBLIC,NONE,high,"The careers FAQ targets external applicants and points to a public careers page, establishing public-release intent.",no,,no,Rahul,2026-09-21
uc4-6454537dc7,Weekly_Notes_Facilities.docx,"Facilities team sync - Thursday

Present: Yusuf Mbeki, Rohan Choudhury, Yusuf Montgomery

Progress
- Finished the quarterly report template
- Updated the onboarding checklist
- Fixed the broken link on the internal wiki

Blockers
- Waiting on a review of the vendor evaluation checklist

Next week: plan the team offsite in Porto, schedule the process retrospective.
",INTERNAL,NONE,high,Routine Facilities meeting notes contain ordinary internal operational information and no defined sensitive category.,no,,no,Rahul,2026-09-21
uc4-66c7774ba3,1on1_Notes_Oluwaseun.docx,"One-to-one notes - Oluwaseun Hargrove (Legal)

Oluwaseun told me in confidence that they are going through a divorce and are also waiting on the outcome of an immigration application, which is why they have asked to work from Leeds for a few months.
I said I would keep this between us and HR. Agreed a lighter workload until December.
",CONFIDENTIAL,PII,high,"Private divorce and immigration circumstances are tied to a named employee, directly meeting the PII definition.",no,,no,Rahul,2026-09-21
