reviewer_id,reviewer_kind,variant,review_order,sample_id,role,family_id,split,gold_level,gold_categories,gold_acceptable_alternative_levels,human_level,human_categories,human_confidence,human_taxonomy_ambiguity,human_alternative_levels,human_insufficient_information,human_rationale,level_human_eq_gold,cats_human_eq_gold,lenient_level_match,pred_rules,level_pattern_rules,cats_pattern_rules,pred_ml,level_pattern_ml,cats_pattern_ml,pred_llm_small,level_pattern_llm_small,cats_pattern_llm_small,pred_llm_mid,level_pattern_llm_mid,cats_pattern_llm_mid,pred_llm_large,level_pattern_llm_large,cats_pattern_llm_large,pred_hybrid,level_pattern_hybrid,cats_pattern_hybrid
ChatGPT-GPT-5.6-Sol,ai,content,1,uc4-bfadb3a0f0,control,cred_ci_pipeline_token,dev,HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS;SOURCE_CODE,,HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS;SOURCE_CODE,high,FALSE,,FALSE,Internal CI configuration contains a live-looking bearer token. The token meets Credentials / Secrets and the CI logic is non-public Source Code.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS),all agree,gold=human≠pred,CONFIDENTIAL (SOURCE_CODE),gold=human≠pred,gold=human≠pred,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS;SOURCE_CODE),all agree,all agree,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS;SOURCE_CODE),all agree,all agree,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS;SOURCE_CODE),all agree,all agree,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS;SOURCE_CODE),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,2,uc4-fb63604243,control,ts_supplier_yield_terms,dev,HIGHLY_CONFIDENTIAL,TRADE_SECRET,,CONFIDENTIAL,,high,FALSE,,FALSE,"Non-public supplier terms, discount, exclusivity and margin-protection details are sensitive commercial information. No defined category is clearly met.",FALSE,FALSE,FALSE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=pred≠human,human=pred≠gold,HIGHLY_CONFIDENTIAL (TRADE_SECRET),gold=pred≠human,gold=pred≠human,HIGHLY_CONFIDENTIAL (TRADE_SECRET),gold=pred≠human,gold=pred≠human,HIGHLY_CONFIDENTIAL (TRADE_SECRET),gold=pred≠human,gold=pred≠human,HIGHLY_CONFIDENTIAL (TRADE_SECRET),gold=pred≠human,gold=pred≠human
ChatGPT-GPT-5.6-Sol,ai,content,3,uc4-1807887255,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,"The customer story is explicitly a draft awaiting customer approval, so it is not yet approved for public release and contains non-public commercial detail.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,4,uc4-dd34b9e9fe,control,fin_merchant_settlement,dev,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,high,FALSE,,FALSE,The settlement record contains full payment-card numbers. Full card data is Financial / PCI and carries a Highly Confidential floor.,TRUE,TRUE,TRUE,HIGHLY_CONFIDENTIAL (FINANCIAL_PCI),all agree,all agree,HIGHLY_CONFIDENTIAL (no categories),all agree,gold=human≠pred,HIGHLY_CONFIDENTIAL (FINANCIAL_PCI),all agree,all agree,HIGHLY_CONFIDENTIAL (FINANCIAL_PCI),all agree,all agree,HIGHLY_CONFIDENTIAL (FINANCIAL_PCI),all agree,all agree,HIGHLY_CONFIDENTIAL (FINANCIAL_PCI),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,5,uc4-acc01a7faa,control,int_team_meeting_notes,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,Routine internal team notes contain ordinary operational information and no sensitive category or public-release intent.,TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,6,uc4-9e0dbf644f,control,hn_code_reads_env_secrets,dev,CONFIDENTIAL,SOURCE_CODE,,CONFIDENTIAL,SOURCE_CODE,high,FALSE,,FALSE,"Organization-owned internal Python code is non-public Source Code. It only reads a password from an environment variable, so Credentials / Secrets does not apply.",TRUE,TRUE,TRUE,CONFIDENTIAL (SOURCE_CODE),all agree,all agree,HIGHLY_CONFIDENTIAL (CREDENTIALS_SECRETS;SOURCE_CODE),gold=human≠pred,gold=human≠pred,CONFIDENTIAL (SOURCE_CODE),all agree,all agree,CONFIDENTIAL (SOURCE_CODE),all agree,all agree,CONFIDENTIAL (SOURCE_CODE),all agree,all agree,CONFIDENTIAL (SOURCE_CODE),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,7,uc4-95ec10ed1c,control,hn_blank_hr_form_template,dev,INTERNAL,,,INTERNAL,,high,FALSE,,FALSE,"This is a blank onboarding template with empty SSN, DOB and address fields. The taxonomy explicitly excludes blank forms from PII.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree,INTERNAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,8,uc4-fcfbdb789f,control,amb_research_paper_draft,dev,CONFIDENTIAL,INTELLECTUAL_PROPERTY,INTERNAL,CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,FALSE,,FALSE,The unpublished manuscript describes a novel research method and results and is not yet submitted. That clearly meets unpublished research / Intellectual Property.,TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (INTELLECTUAL_PROPERTY),gold=human≠pred,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,9,uc4-f01402e5c4,disputed,amb_customer_case_study_draft,dev,CONFIDENTIAL,,PUBLIC,CONFIDENTIAL,,medium,TRUE,INTERNAL,FALSE,The customer story is a draft awaiting approval and therefore is not yet approved for public release. No defined sensitive-data category clearly applies.,TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (no categories),gold=human≠pred,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree,CONFIDENTIAL (no categories),all agree,all agree
ChatGPT-GPT-5.6-Sol,ai,content,10,uc4-3a62ad2249,control,ip_research_notebook_novel_method,dev,CONFIDENTIAL,INTELLECTUAL_PROPERTY,,CONFIDENTIAL,INTELLECTUAL_PROPERTY,high,FALSE,,FALSE,"The research notebook records a novel, unpublished method and experimental results and discusses protecting it before disclosure. This meets Intellectual Property.",TRUE,TRUE,TRUE,abstained,,,HIGHLY_CONFIDENTIAL (INTELLECTUAL_PROPERTY),gold=human≠pred,all agree,HIGHLY_CONFIDENTIAL (INTELLECTUAL_PROPERTY;TRADE_SECRET),gold=human≠pred,gold=human≠pred,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree,CONFIDENTIAL (INTELLECTUAL_PROPERTY),all agree,all agree
