review_order,sample_id,role,family_id,split,tier,gold_level,gold_categories,gold_ambiguity_flag,gold_acceptable_alternative_levels
1,uc4-59fba52cb2,control,pub_careers_faq,dev,T1,PUBLIC,,FALSE,
2,uc4-4b84f54ee7,disputed,phi_prescription_record,dev,T1,HIGHLY_CONFIDENTIAL,PHI,FALSE,
3,uc4-3a62ad2249,control,ip_research_notebook_novel_method,dev,T2,CONFIDENTIAL,INTELLECTUAL_PROPERTY,FALSE,
4,uc4-f01402e5c4,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
5,uc4-bfadb3a0f0,control,cred_ci_pipeline_token,dev,T1,HIGHLY_CONFIDENTIAL,CREDENTIALS_SECRETS;SOURCE_CODE,FALSE,
6,uc4-089c6dc891,disputed,hn_business_case_study,calibration,T4,PUBLIC,,FALSE,
7,uc4-9e0dbf644f,control,hn_code_reads_env_secrets,dev,T4,CONFIDENTIAL,SOURCE_CODE,FALSE,
8,uc4-19c5bd1307,disputed,phi_prescription_record,dev,T1,HIGHLY_CONFIDENTIAL,PHI,FALSE,
9,uc4-acc01a7faa,control,int_team_meeting_notes,dev,T1,INTERNAL,,FALSE,
10,uc4-c2223643cf,disputed,phi_prescription_record,dev,T1,HIGHLY_CONFIDENTIAL,PHI,FALSE,
11,uc4-95ec10ed1c,control,hn_blank_hr_form_template,dev,T4,INTERNAL,,FALSE,
12,uc4-c885ab8c28,disputed,phi_prescription_record,dev,T1,HIGHLY_CONFIDENTIAL,PHI,FALSE,
13,uc4-2154faf7ae,control,pub_careers_faq,dev,T1,PUBLIC,,FALSE,
14,uc4-521a321e60,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
15,uc4-fcfbdb789f,control,amb_research_paper_draft,dev,T3,CONFIDENTIAL,INTELLECTUAL_PROPERTY,TRUE,INTERNAL
16,uc4-fb63604243,control,ts_supplier_yield_terms,dev,T2,HIGHLY_CONFIDENTIAL,TRADE_SECRET,FALSE,
17,uc4-10e1c66f39,disputed,hn_public_api_docs_placeholder_keys,dev,T4,PUBLIC,,FALSE,
18,uc4-de62c38c69,disputed,phi_prescription_record,dev,T1,HIGHLY_CONFIDENTIAL,PHI,FALSE,
19,uc4-dd34b9e9fe,control,fin_merchant_settlement,dev,T1,HIGHLY_CONFIDENTIAL,FINANCIAL_PCI,FALSE,
20,uc4-1807887255,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
21,uc4-c8334a8e38,control,pub_careers_faq,dev,T1,PUBLIC,,FALSE,
22,uc4-fac2c886c3,disputed,hn_business_case_study,calibration,T4,PUBLIC,,FALSE,
23,uc4-210e112c7e,disputed,hn_business_case_study,calibration,T4,PUBLIC,,FALSE,
24,uc4-9d42fc85c9,disputed,hn_public_api_docs_placeholder_keys,dev,T4,PUBLIC,,FALSE,
25,uc4-f79ebb3064,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
26,uc4-00ac341854,disputed,hn_public_api_docs_placeholder_keys,dev,T4,PUBLIC,,FALSE,
27,uc4-35ffba48e4,disputed,hn_public_api_docs_placeholder_keys,dev,T4,PUBLIC,,FALSE,
28,uc4-e9ab29f565,disputed,hn_business_case_study,calibration,T4,PUBLIC,,FALSE,
29,uc4-02400f99b0,disputed,hn_public_api_docs_placeholder_keys,dev,T4,PUBLIC,,FALSE,
30,uc4-2472fae2da,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
31,uc4-4c7bd732c6,disputed,amb_customer_case_study_draft,dev,T3,CONFIDENTIAL,,TRUE,PUBLIC
32,uc4-b16d04f2c2,control,int_team_meeting_notes,dev,T1,INTERNAL,,FALSE,
33,uc4-a278fd5603,disputed,hn_business_case_study,calibration,T4,PUBLIC,,FALSE,
